ACCE_REFINE_COST	Absorption price: %d
ACCE_ABSORB_CHANCE	Absorption rate: %d%%
ACCE_ABSORB_CHANCE2	Absorption rate: %d%% ~ %d%%
ACCE_DO_YOU_CLEAN	Do you want to remove all available bonuses?
ACCE_FAILURE_CLEAN	No bonuses can be taken away.
UI_BOLD_FONT	Tahoma:12b
UI_BOLD_FONT_LARGE	Tahoma:14
UI_BOLD_FONT_LARGE2	Tahoma:22b
UI_BOLD_FONT_SMALL	Tahoma:9b
UI_NORMAL_FONT	Tahoma:12
UI_NORMAL_FONT_LARGE	Tahoma:14
UI_NORMAL_FONT_SMALL	Tahoma:9
UI_ITALIC_FONT	Tahoma:12i
UI_ITALIC_FONT_LARGE	Tahoma:14i
UI_ITALIC_FONT_SMALL	Tahoma:9i
UI_STRIKE_FONT	Tahoma:12s
UI_STRIKE_FONT_LARGE	Tahoma:14s
UI_STRIKE_FONT_SMALL	Tahoma:9s
UI_UNDER_FONT	Tahoma:12u
UI_UNDER_FONT_LARGE	Tahoma:14u
UI_UNDER_FONT_SMALL	Tahoma:9u
TOOLTIP_TIPS_SPLIT_ITEM	{} + {} Split Item
TOOLTIP_CHEST_ITEM	{} + {} Sandýk Aynasý
GAME_PICK_CHEQUE	You have received %d Won.
DROP_CHEQUE_FAILURE_1000_OVER	You can drop a maximum of 999 Won.
DO_YOU_DROP_CHEQUE	Do you want drop %d Won?
CHEQUE_SYSTEM_UNIT_WON	Won
CHEQUE_ONLY_VALUE	You can only enter a value.
CHEQUE_NO_ADD_SALE_PRICE	You must enter at least one sale price. If you don't want to put a price, then enter "0".
CHEQUE_SYSTEM_SELL_PRICE	[Sales price]
CHEQUE_SYSTEM_YANG	%s
CHEQUE_SYSTEM_WON	%s
DO_YOU_SELL_ITEM1	Do you want to sell %s for %s Yang?
DO_YOU_SELL_ITEM2	Do you want to sell %s (%s lots) for %s Yang?
CHEQUE_SYSTEM_DO_NOT_DROP_MONEY	You can't drop money.
CHEQUE_SYSTEM_UNIT_CHEQUE	Won
CHEQUE_SYSTEM_UNIT_YANG	Yang
CHEQUE_SYSTEM_CHEQUE	%s Won
SHOP_NOT_ENOUGH_CHEQUE	You don't have enough Won.
SHOP_NOT_ENOUGH_MONEY_CHEQUE	You don't have enough Won or Yang.
DO_YOU_BUY_ITEM1_CHEQUE	Do you want to buy %s for %s Won and %s Yang?
DO_YOU_BUY_ITEM2_CHEQUE	Do you want to buy %s (%s lots) for %s Won and %s Yang?
DO_YOU_DROP_CHEQUE	Do you want drop %d Won?
DO_YOU_BUY_ITEM1_CHEQUE1	Do you want to buy %s for %s and 0 Yang?
DO_YOU_BUY_ITEM2_CHEQUE1	Do you want to buy %s (%s lots) for %s and 0 Yang?
WONEXCHANGE_CONFIRM_QUESTION_1	Do you want to sell %d Won for %s Yang.
WONEXCHANGE_CONFIRM_QUESTION_2	Do you want to buy %d Won for %s Yang.
WONEXCHANGE_CONFIRM_QUESTION_3	Continue?
SYSTEM_OPTION_CPU_TILING_1	CPU Tiling Mode can upgrade the speed of a weaker PC.	
SYSTEM_OPTION_CPU_TILING_2	If there are problem with the graphics choose either 'Systemoption' or 'CONFIG.exe'	
SYSTEM_OPTION_CPU_TILING_3	and change to GPU Tiling Mode.	
SYSTEM_OPTION_GPU_TILING_1	GPU Tiling Mode can run slow on a weaker PC.
SYSTEM_OPTION_GPU_TILING_2	If there are problems with the graphics choose either 'System Options' or 'CONFIG.exe'
SYSTEM_OPTION_GPU_TILING_3	and change to GPU Tiling Mode.
SYSTEM_OPTION_TILING_EXIT	To change to Tiling mode, the game has to be restarted.
